Timestamp,Station,Count,Rate,Status
2026-08-03 17:56:27,Station 1,469,0,LOW OUTPUT
2026-08-03 17:56:27,Station 2,417,0,LOW OUTPUT
2026-08-03 17:56:27,Station 3,559,0,RUNNING
2026-08-03 17:56:27,Station 4,326,0,RUNNING
2026-08-03 17:56:27,Station 5,461,0,RUNNING
2026-08-03 17:56:27,Station 6,496,0,RUNNING
2026-08-03 17:56:37,Station 1,489,0,LOW OUTPUT
2026-08-03 17:56:37,Station 2,434,0,LOW OUTPUT
2026-08-03 17:56:37,Station 3,579,0,LOW OUTPUT
2026-08-03 17:56:37,Station 4,343,0,LOW OUTPUT
2026-08-03 17:56:37,Station 5,474,0,LOW OUTPUT
2026-08-03 17:56:37,Station 6,515,0,LOW OUTPUT
2026-08-03 17:56:47,Station 1,507,0,LOW OUTPUT
2026-08-03 17:56:47,Station 2,454,0,LOW OUTPUT
2026-08-03 17:56:47,Station 3,596,0,LOW OUTPUT
2026-08-03 17:56:47,Station 4,356,0,LOW OUTPUT
2026-08-03 17:56:47,Station 5,489,0,LOW OUTPUT
2026-08-03 17:56:47,Station 6,533,0,LOW OUTPUT
2026-08-03 17:56:57,Station 1,526,0,LOW OUTPUT
2026-08-03 17:56:57,Station 2,468,0,LOW OUTPUT
2026-08-03 17:56:57,Station 3,615,0,LOW OUTPUT
2026-08-03 17:56:57,Station 4,372,0,LOW OUTPUT
2026-08-03 17:56:57,Station 5,504,0,LOW OUTPUT
2026-08-03 17:56:57,Station 6,551,0,LOW OUTPUT
2026-08-03 17:57:07,Station 1,544,0,LOW OUTPUT
2026-08-03 17:57:07,Station 2,486,0,LOW OUTPUT
2026-08-03 17:57:07,Station 3,633,0,LOW OUTPUT
2026-08-03 17:57:07,Station 4,389,0,LOW OUTPUT
2026-08-03 17:57:07,Station 5,518,0,LOW OUTPUT
2026-08-03 17:57:07,Station 6,569,0,LOW OUTPUT
2026-08-03 17:57:17,Station 1,563,0,LOW OUTPUT
